Source,Target,Type,Ports
"53","25",Undirected,"8p6-1164"
"39","38",Undirected,"1p6-13,18p6-0,23p6-200"
"87","59",Undirected,"73p17-5,74p17-3"
"42","13",Undirected,"1p6-74"
"11","23",Undirected,"1p17-284,1p6-16,3p17-22,26p6-10788"
"41","8",Undirected,"1p6-20"
"26","1",Undirected,"1p6-20"
"41","5",Undirected,"1p17-284"
"20","43",Undirected,"1p17-282,1p6-20,31p6-222100"
"1","50",Undirected,"1p6-16"
"22","29",Undirected,"1p6-10"
"22","28",Undirected,"11p6-555,1p17-282"
"34","21",Undirected,"1p17-280,1p6-10"
"26","2",Undirected,"1p17-284"
"39","51",Undirected,"1p17-282,1p6-26,23p6-200"
"51","36",Undirected,"4p17-6,1p6-10,2p17-2462,6p6-12284"
"9","29",Undirected,"1p17-282"
"4","5",Undirected,"1p6-70"
"88","59",Undirected,"73p17-5,74p17-3"
"6","4",Undirected,"1p6-16"
"32","14",Undirected,"1p17-286,1p6-10"
"22","33",Undirected,"1p17-284,31p6-146169"
"30","18",Undirected,"1p17-282"
"28","41",Undirected,"1p17-280,1p6-10"
"48","8",Undirected,"1p17-282,1p6-20"
"43","29",Undirected,"1p17-280"
"16","11",Undirected,"38p6-3570,905p6-3631,916p6-18686,775p6-6497,912p6-19269,919p6-5394,42p6-55270,911p6-3185,40p6-1508"
"26","42",Undirected,"1p6-30"
"30","26",Undirected,"1p17-282,1p6-20"
"49","22",Undirected,"1p17-284"
"54","89",Undirected,"8p6-3766"
"32","25",Undirected,"8p6-379"
"28","21",Undirected,"1p17-280"
"17","1",Undirected,"20p6-72336"
"9","26",Undirected,"1p17-282,1p6-10"
"35","11",Undirected,"1p17-282"
"31","35",Undirected,"52p6-1517,1p17-284"
"21","11",Undirected,"1p6-32"
"16","90",Undirected,"770p6-1128,769p6-992"
"9","1",Undirected,"1p6-26"
"48","41",Undirected,"1p17-284,1p6-10,15p6-6230"
"7","26",Undirected,"1p17-282,1p6-20,7p6-11512"
"1","15",Undirected,"1p17-64"
"50","18",Undirected,"1p17-284,1p6-32"
"15","48",Undirected,"1p17-282,1p6-10,907p6-3750,12p6-47300"
"46","14",Undirected,"1p17-284"
"44","53",Undirected,"1p17-286"
"38","50",Undirected,"1p17-282,1p6-20"
"57","12",Undirected,"1p6-20"
"51","23",Undirected,"1p17-282,1p6-10,3p17-26"
"30","44",Undirected,"1p6-42"
"57","13",Undirected,"1p17-280,1p6-10"
"9","51",Undirected,"1p17-282"
"23","51",Undirected,"31p6-23571"
"32","7",Undirected,"1p17-280,12p6-2657"
"49","57",Undirected,"1p6-44"
"45","51",Undirected,"414p6-5757,881p6-9786,818p6-797,713p6-9198,690p6-6830,1p17-284,426p6-4331,604p6-15,1p6-10,719p6-9611,536p6-86892,651p6-366,421p6-1149,467p6-4380,687p6-13696,311p6-14050,31p6-302379,401p6-4573,446p6-377,742p6-9098,563p6-9727,610p6-12503,579p6-2360"
"12","27",Undirected,"1p17-282,1p6-30"
"14","53",Undirected,"1p17-144,1p6-16"
"23","20",Undirected,"1p17-286,1p6-20"
"3","12",Undirected,"1p6-10"
"48","32",Undirected,"1p6-30"
"9","25",Undirected,"8p6-1127"
"45","43",Undirected,"102p6-10207,358p6-545,381p6-4362,357p6-407,185p6-4191,50p6-46,1p6-30,369p6-7276,264p6-412,180p6-2107,202p6-13077,195p6-100363,155p6-15372,368p6-8933,120p6-1331,31p6-258551,168p6-15,170p6-13199,82p6-9927,96p6-2292"
"92","59",Undirected,"73p17-5"
"3","33",Undirected,"1p17-282,1p6-20"
"33","18",Undirected,"1p17-282,1p6-30"
"16","48",Undirected,"1p17-281,1p6-10,907p6-3782,12p6-11995"
"38","18",Undirected,"1p17-282"
"7","39",Undirected,"1p17-282,2p17-3334,6p6-7981"
"38","19",Undirected,"1p6-30"
"21","30",Undirected,"1p17-280,1p6-20"
"35","7",Undirected,"1p17-284,1p6-20,12p6-20248"
"20","1",Undirected,"1p6-10"
"49","42",Undirected,"1p6-32"
"29","33",Undirected,"1p6-10"
"51","25",Undirected,"8p6-381,778p6-10"
"48","34",Undirected,"1p17-282,1p6-10,12p6-224"
"2","50",Undirected,"1p17-284"
"6","22",Undirected,"1p17-280"
"37","2",Undirected,"2p6-3840"
"6","6",Undirected,"11p6-0,30p6-0"
"64","91",Undirected,"3p17-8"
"50","48",Undirected,"779p6-364,1p17-280,1p6-10,12p6-31770"
"35","10",Undirected,"1p17-282,1p6-32"
"50","36",Undirected,"4p17-4,1p6-10,2p17-2442,6p6-25818"
"53","20",Undirected,"1p6-16"
"48","26",Undirected,"1p6-10,7p6-20962"
"42","18",Undirected,"1p17-284,1p6-20"
"30","25",Undirected,"8p6-1093"
"46","46",Undirected,"10p6-0"
"49","12",Undirected,"1p17-286,1p6-16"
"11","38",Undirected,"1p17-282"
"35","24",Undirected,"1p17-284,1p6-10"
"45","40",Undirected,"3p17-12"
"33","46",Undirected,"9p6-254,1p6-26"
"93","59",Undirected,"73p17-5"
"67","94",Undirected,"779p6-1225"
"43","44",Undirected,"1p17-284"
"38","30",Undirected,"1p6-10"
"57","48",Undirected,"1p6-10,12p6-65166"
"40","34",Undirected,"1p17-280,1p6-10"
"33","2",Undirected,"2p6-4764"
"14","23",Undirected,"1p6-20,3p17-22"
"23","24",Undirected,"1p6-30"
"33","9",Undirected,"1p6-10"
"5","31",Undirected,"1p6-82"
"43","53",Undirected,"1p6-16,2p6-23938"
"6","3",Undirected,"1p17-282,1p6-10"
"8","35",Undirected,"1p17-282,1p6-40"
"47","20",Undirected,"1p17-284"
"11","12",Undirected,"3p6-6235,2p6-29520"
"1","40",Undirected,"1p17-282,3p17-24"
"8","44",Undirected,"1p17-284,1p6-10"
"15","36",Undirected,"5p6-1080,1p6-10,2p17-5326,4p6-464,6p6-21751"
"54","95",Undirected,"3p17-6"
"27","22",Undirected,"1p6-20"
"15","14",Undirected,"1p6-30"
"4","41",Undirected,"1p6-11"
"47","15",Undirected,"1p17-282,1p6-26"
"5","30",Undirected,"1p17-282,1p6-70"
"1","57",Undirected,"1p17-282,1p6-50,2p6-43789"
"4","29",Undirected,"1p6-26"
"9","40",Undirected,"3p17-26"
"20","19",Undirected,"1p17-276"
"36","49",Undirected,"1p17-280,43p6-3017,19p6-496,1p6-16,18p6-1625"
"14","6",Undirected,"1p17-280,1p6-30"
"102","270",Undirected,"3p17-3"
"38","25",Undirected,"8p6-1061"
"10","39",Undirected,"4p17-6,1p6-38,2p17-27080,4p6-27187,6p6-25777"
"38","17",Undirected,"1p17-282,2p17-210,6p6-1741"
"22","49",Undirected,"1p6-10,33p6-10982"
"15","47",Undirected,"1p6-32"
"46","24",Undirected,"1p17-282,1p6-20"
"50","8",Undirected,"1p17-282,1p6-10"
"22","12",Undirected,"1p6-10"
"11","10",Undirected,"1p17-276,1p6-76"
"21","7",Undirected,"1p6-20,12p6-392"
"6","20",Undirected,"1p17-282"
"17","50",Undirected,"18p6-417"
"34","12",Undirected,"1p17-284"
"46","53",Undirected,"1p17-282,1p6-38"
"39","48",Undirected,"1p17-282,18p6-0,23p6-200,12p6-112122"
"36","10",Undirected,"20p6-20071,22p6-380,1p17-284,19p6-506,1p6-16,21p6-50"
"17","32",Undirected,"1p17-284,1p6-13"
"49","17",Undirected,"1p17-282,1p6-57,2p17-1236,6p6-3127"
"38","46",Undirected,"1p6-26"
"14","7",Undirected,"1p6-10,12p6-5192"
"29","4",Undirected,"1p17-280,1p6-34"
"13","19",Undirected,"1p17-282,1p6-16"
"14","16",Undirected,"1p6-30"
"13","44",Undirected,"1p6-26"
"27","34",Undirected,"1p17-286,1p6-10"
"19","24",Undirected,"1p6-40"
"48","27",Undirected,"1p17-284,15p6-12570"
"15","1",Undirected,"1p17-214"
"38","35",Undirected,"1p6-10"
"36","18",Undirected,"18p6-2705,19p6-508,1p6-26"
"98","59",Undirected,"73p17-5,74p17-3"
"1","3",Undirected,"1p6-74"
"13","28",Undirected,"1p17-284"
"24","31",Undirected,"1p17-280,1p6-10"
"53","38",Undirected,"1p6-16"
"37","25",Undirected,"8p6-379"
"32","1",Undirected,"1p17-288,1p6-32"
"8","23",Undirected,"1p6-20,3p17-20"
"29","50",Undirected,"1p17-282"
"30","19",Undirected,"1p17-280"
"29","48",Undirected,"1p17-282,1p6-10,12p6-60423"
"36","34",Undirected,"1425p6-3234,1p17-282,1p6-10,19p6-506,12p6-5624"
"2","31",Undirected,"1p17-280,1p6-10"
"28","40",Undirected,"3p17-28"
"31","39",Undirected,"922p6-110,37p6-116,1p6-48,2p17-16262,4p6-1456,6p6-7793,773p6-1534"
"50","22",Undirected,"1p6-20"
"44","35",Undirected,"1p17-282,1p6-20"
"18","47",Undirected,"1p17-280"
"19","6",Undirected,"1p17-284,1p6-20"
"26","37",Undirected,"1p17-284,1p6-16"
"18","15",Undirected,"1p17-284,1p6-30"
"43","34",Undirected,"1p17-282,1p6-30"
"19","2",Undirected,"1p6-10"
"14","21",Undirected,"1p17-284"
"12","23",Undirected,"1p6-10,3p17-14"
"18","44",Undirected,"1p17-284,1p6-20"
"2","27",Undirected,"1p6-20"
"27","31",Undirected,"775p6-14110,1p6-16"
"19","39",Undirected,"2p17-224,6p6-1730"
"47","10",Undirected,"909p6-70254"
"7","49",Undirected,"43p6-357,33p6-6392"
"4","25",Undirected,"8p6-1192"
"39","1",Undirected,"20p6-68930,1p17-280,1p6-20,18p6-0,23p6-200"
"47","42",Undirected,"1p17-258,1p6-26"
"13","7",Undirected,"1p6-10,12p6-36385"
"31","10",Undirected,"1p17-282,1p6-32"
"51","42",Undirected,"1p17-280,1p6-20"
"44","48",Undirected,"1p6-20,12p6-27910"
"28","10",Undirected,"1p17-282,1p6-58"
"15","46",Undirected,"9p6-4311,1p6-10"
"3","53",Undirected,"1p17-276"
"47","39",Undirected,"2p17-26616,4p6-27382,6p6-8866"
"23","31",Undirected,"1p17-280,1p6-32,918p6-2940"
"5","24",Undirected,"1p17-281"
"57","36",Undirected,"4p17-4,1p6-20,2p17-220,6p6-1320"
"51","39",Undirected,"1p6-13,2p17-2462,6p6-5410"
"67","99",Undirected,"2p17-2359"
"38","2",Undirected,"1p6-10"
"67","100",Undirected,"779p6-732"
"41","12",Undirected,"1p17-282,1p6-50"
"38","34",Undirected,"1p6-30"
"4","7",Undirected,"1p17-282,1p6-16,12p6-232"
"22","47",Undirected,"1p17-282,1p6-16"
"16","44",Undirected,"11p6-10270,1p17-284,1p6-10"
"11","7",Undirected,"1p6-48,12p6-13836"
"36","13",Undirected,"1p17-280,18p6-3251,19p6-702,1p6-10,55p6-9836"
"2","23",Undirected,"1p6-20,3p17-20"
"1","41",Undirected,"1p6-20"
"45","41",Undirected,"1p17-282"
"36","19",Undirected,"19p6-504"
"7","36",Undirected,"1p6-10,2p17-3276,6p6-6924"
"29","47",Undirected,"1p6-16"
"57","34",Undirected,"1p17-282,1p6-16"
"46","23",Undirected,"1p17-280,3p17-22,1p6-16"
"13","42",Undirected,"1p17-282,1p6-32"
"41","42",Undirected,"1p6-10"
"48","13",Undirected,"1p17-284"
"48","43",Undirected,"1p6-10"
"43","47",Undirected,"1p6-32"
"39","46",Undirected,"1p17-280,23p6-200"
"31","22",Undirected,"1p6-10"
"11","32",Undirected,"1p17-284,3p6-6679,29p6-27052"
"40","51",Undirected,"1p17-284,31p6-21597"
"46","42",Undirected,"1p17-282,1p6-16"
"22","8",Undirected,"1p17-278"
"44","27",Undirected,"1p17-284,1p6-10"
"33","43",Undirected,"1851p6-1384,102p6-10033,358p6-295,381p6-3863,357p6-267,1p17-282,185p6-4241,50p6-46,1908p6-2686,1p6-10,1160p6-50,369p6-7519,195p6-85503,202p6-12954,155p6-14509,1862p6-23,368p6-8934,120p6-1503,168p6-48,170p6-15025,31p6-381817,82p6-10029,96p6-2142,1914p6-3380"
"24","50",Undirected,"1p17-282,1p6-20"
"21","13",Undirected,"1p17-282"
"42","50",Undirected,"1p17-280,1p6-10"
"51","48",Undirected,"1p17-282,1p6-10,12p6-22540"
"45","34",Undirected,"1p6-20"
"7","41",Undirected,"1p17-284,1p6-10,15p6-6250"
"47","30",Undirected,"1p17-284"
"30","41",Undirected,"1p17-282,1p6-10"
"37","29",Undirected,"1p17-280,1p6-10"
"37","46",Undirected,"1p6-16"
"2","5",Undirected,"1p17-282,1p6-16"
"36","11",Undirected,"38p6-380,8p6-538,19p6-476,1p6-26,39p6-390,42p6-1111,41p6-380,40p6-612"
"35","44",Undirected,"1p6-20"
"3","4",Undirected,"1p17-282"
"10","25",Undirected,"8p6-353"
"40","57",Undirected,"1p17-284,2p6-4629"
"48","30",Undirected,"1p6-10"
"51","53",Undirected,"1p17-278,1p6-16,2p6-67712"
"15","50",Undirected,"19p6-6545,42p6-6726"
"17","18",Undirected,"1p17-282,1p6-26,18p6-420"
"53","21",Undirected,"1p17-280,1p6-32"
"51","3",Undirected,"1p17-286,1p6-10"
"33","40",Undirected,"1p17-284,3p17-12,1p6-10"
"30","7",Undirected,"12p6-200"
"15","17",Undirected,"1p17-284,5p6-1080,2p17-5236,4p6-450,6p6-21362"
"19","51",Undirected,"1p6-20"
"14","10",Undirected,"1p6-16"
"1","33",Undirected,"1p6-10"
"42","51",Undirected,"1p6-10,31p6-95991"
"36","51",Undirected,"1p17-282,19p6-472"
"64","101",Undirected,"3p17-8"
"15","41",Undirected,"1p17-282,1p6-40"
"47","12",Undirected,"1p17-282,1p6-64,2p6-73114"
"45","17",Undirected,"4p17-6,1p17-280,2p17-2742,6p6-4424"
"8","25",Undirected,"8p6-1091"
"12","6",Undirected,"1p17-280,1p6-10"
"10","21",Undirected,"1p6-16"
"190","89",Undirected,"8p6-93"
"53","24",Undirected,"1p17-284"
"31","40",Undirected,"1p17-284,1p6-42,3p17-30,26p6-10785"
"41","10",Undirected,"1p6-16"
"27","14",Undirected,"1p17-284"
"46","33",Undirected,"1p17-282,1p6-10"
"102","103",Undirected,"8p6-3893"
"33","25",Undirected,"777p6-398,779p6-2587,38p6-10,8p6-381"
"28","49",Undirected,"1p6-66"
"67","104",Undirected,"2303p6-8168"
"30","47",Undirected,"1p6-33"
"37","10",Undirected,"1p17-282,1p6-32"
"27","5",Undirected,"1p6-16"
"34","47",Undirected,"1p6-16"
"46","43",Undirected,"1p6-26"
"30","2",Undirected,"1p17-282,1p6-10"
"54","105",Undirected,"3p17-8"
"13","34",Undirected,"1p6-16"
"50","27",Undirected,"1p6-26"
"67","75",Undirected,"2300p6-1680,2p17-1240"
"19","41",Undirected,"1p17-280,1p6-20"
"41","48",Undirected,"1p6-20,12p6-40676"
"17","36",Undirected,"6p6-0"
"12","22",Undirected,"1p17-282,1p6-10"
"51","44",Undirected,"11p6-807,1p6-10"
"30","32",Undirected,"1p17-278,1p6-20"
"29","15",Undirected,"1p17-280,1p6-20"
"1","21",Undirected,"1p17-266"
"34","7",Undirected,"1p17-282,1p6-20,12p6-384"
"23","41",Undirected,"1p6-20"
"41","39",Undirected,"1p6-10,2p17-5942,6p6-22154"
"23","5",Undirected,"11p6-15491,1p17-282,1p6-10"
"42","44",Undirected,"11p6-12111,1p17-40"
"40","35",Undirected,"52p6-4403,1p17-282,1p6-10"
"4","23",Undirected,"1p17-282,1p6-16,3p17-14"
"5","44",Undirected,"1p6-16"
"45","29",Undirected,"1p6-10"
"40","32",Undirected,"1p17-282,1p6-10,29p6-180"
"14","35",Undirected,"1p17-286,1p6-10"
"106","59",Undirected,"73p17-5"
"50","38",Undirected,"1p6-26"
"23","50",Undirected,"1p17-284,1p6-10"
"41","35",Undirected,"1p17-284,1p6-20"
"9","22",Undirected,"1p17-284,1p6-20"
"17","8",Undirected,"1p17-284,1p6-23"
"14","32",Undirected,"1p6-10"
"21","8",Undirected,"1p6-10"
"51","27",Undirected,"1p17-282,1p6-20"
"35","5",Undirected,"1p17-284,1p6-16"
"48","10",Undirected,"1p17-284,1p6-32"
"11","46",Undirected,"1p17-282,9p6-3990,1p6-44"
"1","19",Undirected,"1p17-280,1p6-26"
"5","42",Undirected,"1p17-282,1p6-32"
"29","32",Undirected,"1p6-10"
"19","50",Undirected,"1p6-10"
"107","59",Undirected,"73p17-5,74p17-3"
"42","27",Undirected,"15p6-3637"
"53","13",Undirected,"1p17-282,1p6-10"
"19","35",Undirected,"1p17-282"
"11","49",Undirected,"1p17-284,1p6-44,33p6-3122"
"33","51",Undirected,"414p6-5352,713p6-8623,690p6-7669,1p17-282,426p6-4440,732p6-4789,604p6-62,719p6-10322,536p6-81895,651p6-296,467p6-4560,421p6-1636,687p6-15381,481p6-133,311p6-14164,442p6-113,401p6-3961,31p6-214779,742p6-9719,446p6-269,563p6-10151,610p6-14414,658p6-84,579p6-2214"
"24","13",Undirected,"1p17-280,1p6-48"
"26","14",Undirected,"1p6-20"
"49","36",Undirected,"1p6-43,2p17-1168,6p6-2767"
"39","9",Undirected,"1p17-278,18p6-0,1p6-13,23p6-200"
"108","64",Undirected,"21p6-34005"
"9","16",Undirected,"1p6-20"
"19","36",Undirected,"1p17-280,1p6-30,2p17-216,6p6-3585"
"38","33",Undirected,"1p17-280"
"34","23",Undirected,"1p17-284,3p17-20"
"39","2",Undirected,"1p17-282,18p6-0,1p6-10,23p6-200,2p6-2709"
"6","44",Undirected,"1p6-30"
"3","1",Undirected,"1p17-284"
"27","25",Undirected,"8p6-378"
"48","36",Undirected,"1p17-282,1p6-10,2p17-3392,6p6-4304"
"40","11",Undirected,"1p17-282,1p6-16"
"22","57",Undirected,"1p17-284,1p6-26"
"34","35",Undirected,"1p6-10"
"43","7",Undirected,"1p6-20,12p6-15314"
"43","45",Undirected,"568p6-685,1123p6-2113,1265p6-15050,1111p6-3506,1104p6-56,1041p6-11368,1214p6-10945,1140p6-152,1157p6-1201,1150p6-1734,1p17-280,1154p6-361,50p6-22,1151p6-58,1285p6-7578,1061p6-16046,1142p6-98771,1233p6-4105,422p6-618,1013p6-6649,1179p6-4422,1282p6-1811,31p6-419289,91p6-11993,1057p6-356,1235p6-95903,1052p6-13052,1266p6-2268"
"8","28",Undirected,"1p17-282,1p6-30"
"47","49",Undirected,"1p17-280,1p6-22"
"1","29",Undirected,"1p6-32"
"49","39",Undirected,"4p17-4,1p17-282,1p6-38,2p17-1188,6p6-3443"
"22","16",Undirected,"1p6-20"
"24","7",Undirected,"1p17-284,1p6-20,12p6-192"
"42","21",Undirected,"1p17-284,1p6-30"
"47","57",Undirected,"1p17-280,1p6-38,2p6-42645"
"7","29",Undirected,"1p6-10"
"49","20",Undirected,"1p17-284"
"39","53",Undirected,"1p17-278,23p6-200,2p6-3370"
"16","109",Undirected,"770p6-5898,769p6-1184"
"102","110",Undirected,"75p17-360,5p6-10424,76p17-5100"
"41","46",Undirected,"1p17-284,1p6-16"
"37","18",Undirected,"1p6-10"
"16","40",Undirected,"1p17-280,1p6-30,3p17-14"
"33","11",Undirected,"1p17-282,1p6-16,42p6-104"
"74","99",Undirected,"2p17-1368"
"21","39",Undirected,"1p17-284,1p6-13,2p17-826,6p6-3204"
"10","8",Undirected,"1p6-32"
"37","19",Undirected,"1p17-284,1p6-74"
"43","40",Undirected,"1p6-10,3p17-24"
"32","39",Undirected,"1p6-13,2p17-1218,6p6-5729"
"18","8",Undirected,"1p17-280,1p6-30"
"19","27",Undirected,"1p17-284,1p6-20"
"22","13",Undirected,"1p17-280,1p6-16"
"20","40",Undirected,"1p17-282,1p6-10,3p17-14"
"57","4",Undirected,"1p17-278"
"111","59",Undirected,"73p17-5"
"43","12",Undirected,"2p6-2822"
"19","3",Undirected,"1p17-284,1p6-30"
"45","5",Undirected,"1p17-284"
"13","20",Undirected,"1p17-280,1p6-16"
"22","6",Undirected,"1p6-10"
"50","40",Undirected,"1p17-280,1p6-10,3p17-24"
"10","5",Undirected,"11p6-23475,1p6-22"
"11","1",Undirected,"1p6-16"
"27","6",Undirected,"1p6-20"
"10","32",Undirected,"1p6-40"
"3","44",Undirected,"11p6-5415,1p17-282,1p6-10"
"51","26",Undirected,"1p6-20"
"28","44",Undirected,"1p6-10"
"50","25",Undirected,"8p6-383"
"3","57",Undirected,"1p17-284,1p6-16"
"112","59",Undirected,"73p17-5"
"2","36",Undirected,"1p6-10,2p17-216,6p6-3248"
"49","6",Undirected,"1p6-16"
"36","30",Undirected,"19p6-492,1p6-10"
"22","45",Undirected,"31p6-122216"
"4","45",Undirected,"1p17-284,1p6-16"
"9","11",Undirected,"1p17-278,1p6-32"
"40","48",Undirected,"1p6-20,12p6-20864"
"32","9",Undirected,"1p6-20"
"42","17",Undirected,"4p17-6,1p6-39,2p17-6448,6p6-35092"
"40","24",Undirected,"1p17-284,1p6-40"
"34","40",Undirected,"3p17-22,1p6-10"
"7","11",Undirected,"1p17-282,1p6-74"
"1","2",Undirected,"1p17-280"
"57","24",Undirected,"1p17-278"
"37","35",Undirected,"1p6-16"
"40","6",Undirected,"1p6-20"
"22","23",Undirected,"1p17-282,3p17-12,1p6-10"
"4","12",Undirected,"1p6-16"
"16","33",Undirected,"28p6-6295,1p6-10"
"6","15",Undirected,"1p17-282,1p6-30"
"18","46",Undirected,"1p17-284"
"18","51",Undirected,"31p6-5588"
"48","7",Undirected,"1p17-284,1p6-20,12p6-30"
"18","49",Undirected,"1p17-282,43p6-50,33p6-1454"
"31","17",Undirected,"37p6-184,1p17-278,1p6-35,2p17-16360,4p6-1181,6p6-4209"
"32","51",Undirected,"1p17-284,1p6-10"
"12","32",Undirected,"1p6-10"
"2","39",Undirected,"1p6-13,2p17-220,6p6-2394"
"43","23",Undirected,"3p17-22,1p6-10"
"9","43",Undirected,"1p17-280"
"34","53",Undirected,"1p6-48"
"53","31",Undirected,"1p17-282,1p6-60"
"26","8",Undirected,"1p17-280,1p6-20"
"46","12",Undirected,"1p17-278"
"40","5",Undirected,"11p6-27026,1p17-282,1p6-10"
"24","37",Undirected,"1p17-282,1p6-16"
"11","24",Undirected,"1p6-16"
"19","7",Undirected,"12p6-208"
"1","14",Undirected,"1p6-20"
"54","101",Undirected,"3p17-8"
"23","4",Undirected,"1p6-16"
"17","20",Undirected,"1p17-282,1p6-13"
"24","42",Undirected,"1p17-282"
"21","29",Undirected,"1p6-40"
"21","26",Undirected,"7p6-3943"
"19","17",Undirected,"4p17-6,1p17-282,1p6-23,2p17-216,6p6-3580"
"53","12",Undirected,"1p17-284,1p6-26"
"37","42",Undirected,"1p6-10"
"47","41",Undirected,"1p17-282,1p6-16"
"50","23",Undirected,"1p6-10,3p17-20"
"19","10",Undirected,"1p17-278"
"40","42",Undirected,"52p6-4037,1p17-284"
"28","46",Undirected,"1p17-282"
"43","26",Undirected,"1p6-10"
"39","41",Undirected,"1p17-282,15p6-308,23p6-201"
"9","18",Undirected,"1p6-10"
"67","113",Undirected,"779p6-1227"
"33","21",Undirected,"1p17-280,1p6-20"
"39","19",Undirected,"1p17-280,18p6-0,1p6-13,23p6-200"
"9","48",Undirected,"1p6-10,12p6-48581"
"31","30",Undirected,"1p17-284"
"30","35",Undirected,"1p17-282,1p6-16"
"3","2",Undirected,"1p17-278"
"29","39",Undirected,"1p17-284,2p17-454,6p6-3139"
"49","13",Undirected,"1p17-282"
"114","115",Undirected,"779p6-32319"
"34","42",Undirected,"1p17-284"
"33","24",Undirected,"1p17-282"
"10","14",Undirected,"1p17-280"
"4","19",Undirected,"1p6-64"
"13","2",Undirected,"1p6-16"
"38","29",Undirected,"1p6-20"
"41","23",Undirected,"1p17-284,1p6-10,3p17-24"
"18","6",Undirected,"1p6-30"
"37","51",Undirected,"1p6-32,31p6-11475"
"50","10",Undirected,"1p6-48"
"9","35",Undirected,"1p6-10"
"36","26",Undirected,"1p17-282,19p6-510,921p6-16401"
"14","13",Undirected,"1p17-282,1p6-16"
"5","9",Undirected,"1p6-17"
"42","36",Undirected,"1p17-282,2p17-6448,6p6-10715"
"7","27",Undirected,"15p6-12505"
"31","12",Undirected,"1p17-112,3p6-6152,2p6-28565"
"3","10",Undirected,"1p17-284,1p6-32"
"12","29",Undirected,"1p17-282"
"57","57",Undirected,"2p6-0"
"6","25",Undirected,"777p6-198,779p6-1115,8p6-1113,778p6-1328"
"2","35",Undirected,"1p6-30"
"37","23",Undirected,"3p17-20,1p6-36"
"27","36",Undirected,"4p17-4,1p6-10,2p17-5970,6p6-15500"
"5","46",Undirected,"1p17-284,1p6-16"
"53","27",Undirected,"1p17-282,1p6-16"
"116","59",Undirected,"73p17-5,74p17-3"
"9","44",Undirected,"1p17-280,1p6-20"
"2","38",Undirected,"1p17-284,1p6-10"
"17","9",Undirected,"1p17-284,1p6-13"
"1","17",Undirected,"1p17-284,2p17-32540,4p6-24321,6p6-15722"
"9","57",Undirected,"1p17-282,1p6-58"
"12","41",Undirected,"1p6-20"
"11","9",Undirected,"1p6-32"
"36","14",Undirected,"1p17-278,19p6-488,1p6-10"
"7","28",Undirected,"1p6-30"
"39","37",Undirected,"1p17-286,18p6-416,23p6-201"
"23","40",Undirected,"20p17-2,34p17-2,19p17-1,48p17-2,47p17-1,17p17-1,3p17-6,1p6-20,385p6-531,16p17-3,32p17-2,51p17-2,45p17-2,54p17-1,62p17-2,60p17-2,33p17-2,25p17-1,44p17-1,56p17-16091,61p17-2"
"51","41",Undirected,"1p6-10"
"7","48",Undirected,"1p6-20,12p6-24326"
"38","39",Undirected,"1p17-284,1p6-13,2p17-216,6p6-3273"
"12","48",Undirected,"1p17-282,1p6-10,12p6-35047"
"6","23",Undirected,"1p17-282,3p17-8"
"51","45",Undirected,"568p6-418,1123p6-2370,1265p6-14283,1111p6-3540,1892p6-1213,1041p6-11184,1214p6-9978,1140p6-242,1157p6-21,1150p6-1388,1p6-40,1285p6-8226,1061p6-15887,2225p6-689,1142p6-87978,1233p6-4057,422p6-471,1013p6-6286,1179p6-3977,1282p6-1467,31p6-284277,2228p6-8499,91p6-11269,1235p6-85999,1052p6-11976,1266p6-2396"
"8","17",Undirected,"1p6-13,2p17-218,6p6-2610"
"36","38",Undirected,"1p17-280,1p6-20,19p6-506"
"3","19",Undirected,"1p6-10"
"20","37",Undirected,"1p17-280"
"11","2",Undirected,"1p17-282,1p6-42,2p6-38516"
"24","46",Undirected,"1p6-10"
"39","26",Undirected,"1p17-282,1p6-13,18p6-0,23p6-201"
"43","32",Undirected,"1p17-280,1p6-20,29p6-7901"
"1","23",Undirected,"1p17-284,3p17-24,1p6-10"
"117","104",Undirected,"2303p6-68400"
"13","8",Undirected,"1p17-280,1p6-16"
"41","57",Undirected,"1p6-10,2p6-1953"
"47","8",Undirected,"1p6-16"
"3","37",Undirected,"1p17-282,1p6-20"
"26","20",Undirected,"7p6-1351"
"35","33",Undirected,"1p6-10,31p6-48714"
"11","13",Undirected,"1p17-280,1p6-22"
"23","30",Undirected,"1p17-282"
"20","30",Undirected,"1p17-282,1p6-26"
"4","13",Undirected,"1p17-282"
"8","38",Undirected,"32p6-13212"
"43","17",Undirected,"1p6-52,2p17-1484,4p6-0,6p6-2731"
"44","31",Undirected,"1p6-16"
"20","25",Undirected,"8p6-381"
"47","31",Undirected,"1p6-22"
"30","51",Undirected,"1p17-282,1p6-20"
"2","16",Undirected,"1p17-280,1p6-10"
"43","18",Undirected,"1p17-282,1p6-20"
"30","57",Undirected,"1p17-278,1p6-22"
"12","19",Undirected,"1p17-282,1p6-10"
"15","19",Undirected,"771p6-360,770p6-1195,1p17-280,769p6-1196,1p6-10"
"53","35",Undirected,"1p6-16"
"46","26",Undirected,"1p6-20"
"14","43",Undirected,"1p17-280"
"41","49",Undirected,"1p17-282,1p6-32,33p6-37642"
"40","18",Undirected,"1p17-282"
"47","40",Undirected,"3p17-14"
"118","59",Undirected,"73p17-5"
"67","82",Undirected,"779p6-2456"
"53","11",Undirected,"1p17-284,1p6-48"
